nom,time,tweet,is_retweet,rt_nom
@JLMelenchon,2017-04-04T22:24:15Z,"Convaincu.e.s ? Rejoignez la France insoumise !
➡️https://t.co/MUtjP1azwN. 
#LeGrandDébat https://t.co/PajSKncJb9",FALSE,NA
@JLMelenchon,2017-04-04T22:22:38Z,"RT @CNEWS: #LeGrandDébat : la conclusion de @JLMelenchon, candidat de La France Insoumise https://t.co/qfb8pgL3LT",TRUE,CNEWS
@JLMelenchon,2017-04-04T22:22:13Z,Le pays a assez pâti. Il est temps de retrouver le goût du bonheur. #LeGrandDebat https://t.co/u3xG1P6sDU,FALSE,NA
@JLMelenchon,2017-04-04T22:21:46Z,"Il s'agit de changer de président, et même de régime, comme je le propose. Mais surtout de commencer les jours heureux. #LeGrandDebat",FALSE,NA
@JLMelenchon,2017-04-04T22:21:03Z,"«Liberté, Égalité, Fraternité», c'est plus qu'une devise : c'est une feuille de route. #LeGrandDebat https://t.co/u3xG1P6sDU",FALSE,NA
@JLMelenchon,2017-04-04T22:20:33Z,La République est davantage qu'une institution. C'est une façon d'organiser la vie en société. #LeGrandDebat https://t.co/u3xG1P6sDU,FALSE,NA
@JLMelenchon,2017-04-04T22:19:49Z,Il faut agir pour la paix car il y a une guerre qui vient. #LeGrandDebat https://t.co/u3xG1P6sDU,FALSE,NA
@JLMelenchon,2017-04-04T22:19:21Z,Le CAC40 et la finance ont assez pris. Ils doivent donner. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T22:19:02Z,Il est temps que le CAC40 et la finance paient le retour au plein emploi et les augmentations de salaires. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T22:17:20Z,Il faut passer à un mode de production écologique. #LeGrandDebat https://t.co/u3xG1P6sDU,FALSE,NA
@JLMelenchon,2017-04-04T22:17:06Z,"Il faut changer la Constitution et définir une nouvelle démocratie, une 6e République. #LeGrandDebat https://t.co/u3xG1P6sDU",FALSE,NA
@JLMelenchon,2017-04-04T22:16:35Z,"Pour se rassembler, il faut en finir avec l'argent roi qui épuise les êtres humains et la nature. #LeGrandDebat https://t.co/u3xG1P6sDU",FALSE,NA
@JLMelenchon,2017-04-04T22:10:46Z,"RT @jlm_2017: Pour aller plus loin, voici comment nous finançons le remboursement à 100% des soins prescrits. #LeGrandDebat #Debatbfm #JLM2…",TRUE,jlm_2017
@JLMelenchon,2017-04-04T22:10:39Z,"RT @mathenth: Avec @JLMelenchon, nous en finirons avec cette industrie pharmaceutique qui s'enrichit sur la santé des français. #LeGrandDeb…",TRUE,mathenth
@JLMelenchon,2017-04-04T22:02:58Z,Il faut recruter 60 000 enseignants. #LeGrandDebat https://t.co/u3xG1P6sDU https://t.co/pIikS8rZ89,FALSE,NA
@JLMelenchon,2017-04-04T22:01:41Z,La #BCE doit racheter la dette des États et la transformer en dette perpétuelle. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T22:01:05Z,"La dette ne sera payée ni en France, ni en Grèce, ni au Portugal, ni en Espagne. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T22:00:43Z,On ne peut pas dire aux jeunes générations que l'avenir est de payer la dette. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T22:00:14Z,Il faut créer 60 000 postes dans la santé. #LeGrandDebat https://t.co/UzdXEzTjoI https://t.co/Cp5qudOqTi,FALSE,NA
@JLMelenchon,2017-04-04T21:59:49Z,Il faut créer des centres de santé publics avec des médecins fonctionnaires pour en finir avec les déserts médicaux… https://t.co/sEWiTCiSYu,FALSE,NA
@JLMelenchon,2017-04-04T21:59:10Z,"Il faut reconstituer ce qui a été détruit, en particulier dans le domaine de la santé. #LeGrandDebat https://t.co/UzdXEzTjoI",FALSE,NA
@JLMelenchon,2017-04-04T21:58:45Z,Nous sommes un peuple particulier. Notre peuple s'est construit autour de l'État et des services publics. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T21:57:16Z,RT @jlm_2017: 60% des Français n'ont pas de religion ! Fichez-nous la paix avec les religions ! #Laicite #LeGrandDebat #DebatBFM #JLM2017 h…,TRUE,jlm_2017
@JLMelenchon,2017-04-04T21:50:06Z,RT @OuestFrance: #LeGrandDebat #factchecking @JLMelenchon vs @FrancoisFillon https://t.co/EUvFS6kZ4i https://t.co/fb4AET0MKa,TRUE,OuestFrance
@JLMelenchon,2017-04-04T21:26:11Z,Laïcité : les hypocrites. https://t.co/SiqkE5L6TK #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T21:24:16Z,60% des Français n'ont pas de religion ! Fichez-nous la paix avec les religions ! #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T21:14:47Z,L'Assemblée constituante est le coeur de ma stratégie révolutionnaire pour une révolution citoyenne tranquille et pacifique. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T21:13:52Z,Pour en savoir plus sur l'Assemblée Constituante. #LeGrandDebat #DebatBFM #6eRepublique https://t.co/pBd9MAHXk6,FALSE,NA
@JLMelenchon,2017-04-04T21:13:36Z,Je propose la mise en place d'un droit de révoquer les élus à l'aide d'un référendum révocatoire. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T21:13:04Z,La Constituante que je propose sera composée de gens jamais élus auparavant et de personnes tirées au sort. #LeGrandDebat,FALSE,NA
@JLMelenchon,2017-04-04T21:12:06Z,Le pays doit se refonder. #LeGrandDebat https://t.co/UzdXEzTjoI,FALSE,NA
@JLMelenchon,2017-04-04T21:09:44Z,RT @ACF_France: #LeGrandDebat Comparez les engagements des candidats sur le développement international ➡️ https://t.co/xVLljfj0x8 #APD2017…,TRUE,ACF_France
